f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
0.0000e+000	2.9916e-009	0.0000e+000	-8.8439e-010	0.0000e+000
1.5259e+010	-1.0250e-009	-3.4116e-009	6.2883e-010	1.2477e-009
3.0518e+010	-3.6703e-009	1.4424e-009	1.8368e-009	-4.8252e-010
4.5776e+010	1.9105e-010	2.3693e-009	7.1487e-010	-1.7575e-009
6.1035e+010	1.0367e-010	2.9485e-009	-7.8591e-010	-2.3818e-009
7.6294e+010	6.0123e-009	1.0342e-009	-3.2984e-009	-4.0641e-010
9.1553e+010	2.6667e-010	-6.2546e-009	-1.0451e-009	2.5921e-009
1.0681e+011	-3.3698e-009	8.1602e-010	7.3314e-010	9.7605e-010
1.2207e+011	5.8292e-010	3.1305e-010	4.8129e-010	6.6310e-010
1.3733e+011	2.6376e-011	2.4162e-010	3.6475e-010	3.1373e-010
1.5259e+011	-3.5430e-010	-1.8905e-009	1.4315e-009	1.1359e-009
1.6785e+011	-2.5481e-009	2.5283e-009	2.0957e-009	-2.4638e-009
1.8311e+011	3.8312e-009	2.5086e-010	-2.5024e-009	-1.4596e-009
1.9836e+011	-2.7671e-009	-2.1196e-009	-7.1683e-011	1.0588e-009
2.1362e+011	1.6116e-009	2.9142e-009	-1.0834e-009	-3.2040e-010
2.2888e+011	-4.6276e-010	-4.1452e-009	8.7658e-010	2.3684e-009
2.4414e+011	-3.4694e-009	4.3664e-009	1.9564e-009	-2.4339e-009
2.5940e+011	5.5626e-009	5.0480e-010	-2.7572e-009	-4.7173e-010
2.7466e+011	-2.4430e-009	-3.7722e-009	8.3670e-010	1.6219e-009
2.8992e+011	-1.2416e-009	3.9332e-009	1.8520e-010	-1.3601e-009
3.0518e+011	3.7037e-009	3.1273e-011	-1.2760e-009	4.2496e-010
3.2043e+011	4.6447e-010	-1.7389e-009	4.7431e-011	7.6261e-010
3.3569e+011	1.7183e-009	-1.7309e-009	-2.6636e-010	8.7957e-010
3.5095e+011	-2.8830e-009	-5.2484e-009	1.9539e-009	1.5109e-009
3.6621e+011	-6.5610e-009	3.0041e-009	2.0175e-009	-2.7373e-009
3.8147e+011	1.3865e-009	4.6226e-009	-2.5689e-009	-1.1703e-009
