f[Hz]	gm	fc	fmin	Gass	P	R	C	gn	ropt	xopt	rc	 
1.525879e+010	584.110143		5.750938e+011 0.136292	14.409402	2.068115	0.963710		0.262862 0.000000	0.000000		0.000000	0.000000
3.051758e+010	574.886166		4.397609e+011 0.245913	12.537059	1.960582	0.860579		0.262862 0.000000	0.000000		0.000000	0.000000
4.577637e+010	522.368422		3.955668e+011 0.364660	10.797230	1.898851	0.783939		0.262862 0.000000	0.000000		0.000000	0.000000
6.103516e+010	514.249787		3.834619e+011 0.507322	10.155600	1.895217	0.743366		0.262862 0.000000	0.000000		0.000000	0.000000
7.629395e+010	505.990786		3.773738e+011 0.659187	9.962587	1.917327	0.730253		0.262862 0.000000	0.000000		0.000000	0.000000
9.155273e+010	503.032649		3.751587e+011 0.793733	9.794378	1.925448	0.726318		0.262862 0.000000	0.000000		0.000000	0.000000
1.068115e+011	505.718032		3.728931e+011 0.914749	9.466005	1.912104	0.714697		0.262862 0.000000	0.000000		0.000000	0.000000
1.220703e+011	507.105499		3.681018e+011 1.052222	9.026000	1.901047	0.695497		0.262862 0.000000	0.000000		0.000000	0.000000
1.373291e+011	503.036374		3.623781e+011 1.220034	8.539577	1.909433	0.680747		0.262862 0.000000	0.000000		0.000000	0.000000
1.525879e+011	496.249581		3.585075e+011 1.397323	8.028524	1.929681	0.677109		0.262862 0.000000	0.000000		0.000000	0.000000
1.678467e+011	491.710151		3.572866e+011 1.554550	7.544144	1.943214	0.680324		0.262862 0.000000	0.000000		0.000000	0.000000
1.831055e+011	490.751158		3.572026e+011 1.693586	7.147361	1.943574	0.682706		0.262862 0.000000	0.000000		0.000000	0.000000
1.983643e+011	490.911228		3.570352e+011 1.837812	6.830904	1.939453	0.683426		0.262862 0.000000	0.000000		0.000000	0.000000
2.136230e+011	490.220969		3.573515e+011 1.992191	6.548504	1.938369	0.687606		0.262862 0.000000	0.000000		0.000000	0.000000
2.288818e+011	489.193326		3.589113e+011 2.137193	6.293590	1.938310	0.697184		0.262862 0.000000	0.000000		0.000000	0.000000
2.441406e+011	489.137449		3.611326e+011 2.258412	6.101827	1.934094	0.707750		0.262862 0.000000	0.000000		0.000000	0.000000
2.593994e+011	490.427834		3.628929e+011 2.364369	5.977011	1.924251	0.714535		0.262862 0.000000	0.000000		0.000000	0.000000
2.746582e+011	492.702220		3.641455e+011 2.470630	5.862348	1.910178	0.718264		0.262862 0.000000	0.000000		0.000000	0.000000
2.899170e+011	495.558838		3.656688e+011 2.582554	5.705150	1.893483	0.722733		0.262862 0.000000	0.000000		0.000000	0.000000
3.051758e+011	498.490519		3.677071e+011 2.697731	5.514232	1.876231	0.729526		0.262862 0.000000	0.000000		0.000000	0.000000
3.204346e+011	500.920101		3.698064e+011 2.813550	5.327909	1.860545	0.737576		0.262862 0.000000	0.000000		0.000000	0.000000
3.356934e+011	502.712412		3.716362e+011 2.928005	5.153577	1.846653	0.745806		0.262862 0.000000	0.000000		0.000000	0.000000
3.509521e+011	504.076237		3.731742e+011 3.040225	4.968971	1.833541	0.753912		0.262862 0.000000	0.000000		0.000000	0.000000
3.662109e+011	504.872249		3.742622e+011 3.152952	4.766474	1.821799	0.761449		0.262862 0.000000	0.000000		0.000000	0.000000
3.814697e+011	504.756008		3.747577e+011 3.268442	4.567361	1.813098	0.768163		0.262862 0.000000	0.000000		0.000000	0.000000
3.967285e+011	504.170231		3.751189e+011 3.380882	4.396600	1.806304	0.774966		0.262862 0.000000	0.000000		0.000000	0.000000
4.119873e+011	504.306753		3.760832e+011 3.480474	4.262348	1.797155	0.782939		0.262862 0.000000	0.000000		0.000000	0.000000
4.272461e+011	505.608929		3.775859e+011 3.567575	4.154824	1.783499	0.791415		0.262862 0.000000	0.000000		0.000000	0.000000
4.425049e+011	507.067426		3.786772e+011 3.654676	4.053411	1.768331	0.798500		0.262862 0.000000	0.000000		0.000000	0.000000
4.577637e+011	507.579040		3.787896e+011 3.751054	3.938321	1.755650	0.803645		0.262862 0.000000	0.000000		0.000000	0.000000
4.730225e+011	507.309159		3.784241e+011 3.852919	3.804633	1.745666	0.808258		0.262862 0.000000	0.000000		0.000000	0.000000
4.882812e+011	507.130048		3.783087e+011 3.951764	3.664831	1.735947	0.813597		0.262862 0.000000	0.000000		0.000000	0.000000
5.035400e+011	507.332672		3.784922e+011 4.045772	3.530642	1.725289	0.819459		0.262862 0.000000	0.000000		0.000000	0.000000
5.187988e+011	507.617037		3.786694e+011 4.138149	3.395884	1.714220	0.825358		0.262862 0.000000	0.000000		0.000000	0.000000
5.340576e+011	507.872877		3.788682e+011 4.229617	3.245928	1.702965	0.831741		0.262862 0.000000	0.000000		0.000000	0.000000
5.493164e+011	508.192814		3.792780e+011 4.318459	3.081065	1.691354	0.839147		0.262862 0.000000	0.000000		0.000000	0.000000
5.645752e+011	508.451864		3.797898e+011 4.404109	2.920109	1.679958	0.847104		0.262862 0.000000	0.000000		0.000000	0.000000
5.798340e+011	508.628485		3.802650e+011 4.485588	2.780412	1.669100	0.854856		0.262862 0.000000	0.000000		0.000000	0.000000
5.950928e+011	509.233348		3.809533e+011 4.559966	2.661862	1.657347	0.862591		0.262862 0.000000	0.000000		0.000000	0.000000
6.103516e+011	510.643932		3.820751e+011 4.627444	2.550848	1.643205	0.870926		0.262862 0.000000	0.000000		0.000000	0.000000
6.256104e+011	512.277557		3.832458e+011 4.694391	2.435016	1.627895	0.879569		0.262862 0.000000	0.000000		0.000000	0.000000
6.408691e+011	513.274331		3.839451e+011 4.765831	2.312999	1.614111	0.887637		0.262862 0.000000	0.000000		0.000000	0.000000
6.561279e+011	513.808350		3.843720e+011 4.837900	2.192046	1.602184	0.895151		0.262862 0.000000	0.000000		0.000000	0.000000
6.713867e+011	514.845520		3.851992e+011 4.903203	2.078676	1.589749	0.903097		0.262862 0.000000	0.000000		0.000000	0.000000
6.866455e+011	516.663982		3.865450e+011 4.961392	1.972173	1.575444	0.911865		0.262862 0.000000	0.000000		0.000000	0.000000
7.019043e+011	518.568568		3.878573e+011 5.018334	1.867517	1.560661	0.920608		0.262862 0.000000	0.000000		0.000000	0.000000
7.171631e+011	520.218692		3.888996e+011 5.076111	1.762760	1.546777	0.928653		0.262862 0.000000	0.000000		0.000000	0.000000
7.324219e+011	522.290615		3.902034e+011 5.130289	1.659349	1.532719	0.936775		0.262862 0.000000	0.000000		0.000000	0.000000
7.476807e+011	525.431845		3.922999e+011 5.177293	1.555504	1.516596	0.946406		0.262862 0.000000	0.000000		0.000000	0.000000
7.629395e+011	529.282772		3.949864e+011 5.219161	1.444676	1.498383	0.957937		0.262862 0.000000	0.000000		0.000000	0.000000
7.781982e+011	533.001993		3.976418e+011 5.260062	1.322537	1.479700	0.970352		0.262862 0.000000	0.000000		0.000000	0.000000
7.934570e+011	536.215173		3.999083e+011 5.302366	1.190962	1.461860	0.982361		0.262862 0.000000	0.000000		0.000000	0.000000
8.087158e+011	539.052327		4.018286e+011 5.346702	1.053791	1.445229	0.993456		0.262862 0.000000	0.000000		0.000000	0.000000
8.239746e+011	541.746428		4.036243e+011 5.391923	0.914131	1.429638	1.003999		0.262862 0.000000	0.000000		0.000000	0.000000
8.392334e+011	544.611807		4.055768e+011 5.434512	0.777372	1.414385	1.014650		0.262862 0.000000	0.000000		0.000000	0.000000
8.544922e+011	548.007296		4.078908e+011 5.471702	0.649758	1.398439	1.025800		0.262862 0.000000	0.000000		0.000000	0.000000
8.697510e+011	551.886278		4.104530e+011 5.505615	0.529571	1.381534	1.037370		0.262862 0.000000	0.000000		0.000000	0.000000
8.850098e+011	555.698693		4.129078e+011 5.540816	0.405764	1.364613	1.049075		0.262862 0.000000	0.000000		0.000000	0.000000
9.002686e+011	559.078846		4.150964e+011 5.577904	0.270749	1.348548	1.060756		0.262862 0.000000	0.000000		0.000000	0.000000
9.155273e+011	562.279319		4.171853e+011 5.613722	0.129887	1.333080	1.072322		0.262862 0.000000	0.000000		0.000000	0.000000
9.307861e+011	565.603499		4.192680e+011 5.647877	-0.006631	1.317703	1.083492		0.262862 0.000000	0.000000		0.000000	0.000000
9.460449e+011	568.858207		4.211807e+011 5.683812	-0.135622	1.302811	1.094004		0.262862 0.000000	0.000000		0.000000	0.000000
9.613037e+011	571.844194		4.229173e+011 5.722013	-0.258247	1.288955	1.104162		0.262862 0.000000	0.000000		0.000000	0.000000
9.765625e+011	574.962902		4.248632e+011 5.757434	-0.371645	1.275551	1.114722		0.262862 0.000000	0.000000		0.000000	0.000000
9.918213e+011	578.712555		4.272868e+011 5.786580	-0.472741	1.261484	1.126007		0.262862 0.000000	0.000000		0.000000	0.000000
1.007080e+012	581.955484		4.294054e+011 5.815606	-0.553791	1.248206	1.137093		0.262862 0.000000	0.000000		0.000000	0.000000
1.022339e+012	584.305860		4.310188e+011 4.842139	-0.269446	1.505479	0.115922		0.507933 0.000000	0.000000		0.000000	0.000000
1.037598e+012	586.701573		4.326733e+011 4.918312	-0.332007	1.519209	0.116440		0.510258 0.000000	0.000000		0.000000	0.000000
1.052856e+012	589.222970		4.344293e+011 4.994721	-0.391424	1.531144	0.117548		0.512029 0.000000	0.000000		0.000000	0.000000
1.068115e+012	591.881818		4.362901e+011 5.062736	-0.447999	1.539749	0.118531		0.513514 0.000000	0.000000		0.000000	0.000000
1.083374e+012	594.619310		4.382058e+011 5.128867	-0.504528	1.546632	0.119519		0.515647 0.000000	0.000000		0.000000	0.000000
1.098633e+012	597.429643		4.401668e+011 5.194509	-0.560400	1.554065	0.120598		0.518105 0.000000	0.000000		0.000000	0.000000
1.113892e+012	600.410864		4.422349e+011 5.258531	-0.614294	1.561607	0.121669		0.520398 0.000000	0.000000		0.000000	0.000000
1.129150e+012	603.628782		4.444437e+011 5.322074	-0.667484	1.569378	0.122692		0.522868 0.000000	0.000000		0.000000	0.000000
1.144409e+012	606.988829		4.467189e+011 5.381718	-0.719394	1.576028	0.123599		0.525032 0.000000	0.000000		0.000000	0.000000
1.159668e+012	610.343834		4.489695e+011 5.438626	-0.771768	1.582257	0.124319		0.526861 0.000000	0.000000		0.000000	0.000000
