f[Hz]	Cgd[F/m]	Cgs[F/m]	Cds[F/m]	Ri[ohm/m]	gm0[S/m]	gds[S/m]	tau[s]
1.5258789e+010	2.0562370e-010	-4.3973524e-011	6.1279526e-010	-1.7486478e-001	584.110143	125.380295	7.4558192e-012
3.0517578e+010	1.4457108e-010	6.3487363e-011	4.3991533e-010	-4.8029178e-002	574.886166	152.583325	2.3209311e-012
4.5776367e+010	8.6653999e-011	1.2351913e-010	2.7885428e-010	-5.9580766e-003	522.368422	171.336471	6.0764163e-013
6.1035156e+010	5.1269244e-011	1.6216892e-010	1.8159303e-010	-1.8217857e-003	514.249787	174.046653	3.5139327e-013
7.6293945e+010	3.9845720e-011	1.7355258e-010	1.4883789e-010	-9.0388199e-004	505.990786	167.423432	2.6167871e-013
9.1552734e+010	4.0946110e-011	1.7245729e-010	1.4908748e-010	-6.7542758e-004	503.032649	161.252848	2.1213139e-013
1.0681152e+011	4.3165249e-011	1.7268086e-010	1.5354676e-010	-5.5710304e-004	505.718032	158.583506	1.8756193e-013
1.2207031e+011	4.3101545e-011	1.7615398e-010	1.5392151e-010	-3.6270532e-004	507.105499	156.721579	1.6875544e-013
1.3732910e+011	4.2961824e-011	1.7796962e-010	1.5483568e-010	-1.4863087e-004	503.036374	153.879125	1.4335706e-013
1.5258789e+011	4.4118320e-011	1.7618548e-010	1.5889989e-010	2.3706631e-006	496.249581	151.625980	1.1418840e-013
1.6784668e+011	4.5134989e-011	1.7389953e-010	1.6275940e-010	7.2487191e-005	491.710151	151.657214	9.1883729e-014
1.8310547e+011	4.4654136e-011	1.7400460e-010	1.6327577e-010	1.0413418e-004	490.751158	153.116382	8.0121853e-014
1.9836426e+011	4.3412824e-011	1.7541980e-010	1.6161538e-010	1.4293959e-004	490.911228	154.083605	7.2335994e-014
2.1362305e+011	4.2781373e-011	1.7555014e-010	1.6041541e-010	1.8829485e-004	490.220969	154.052256	6.3331741e-014
2.2888184e+011	4.2887059e-011	1.7403992e-010	1.6014142e-010	2.1532651e-004	489.193326	153.672184	5.5044066e-014
2.4414062e+011	4.3072807e-011	1.7249525e-010	1.5982779e-010	2.1432255e-004	489.137449	152.989513	5.0718058e-014
2.5939941e+011	4.3237575e-011	1.7185072e-010	1.5952980e-010	2.0193275e-004	490.427834	151.353627	4.8855797e-014
2.7465820e+011	4.3747458e-011	1.7159499e-010	1.6019251e-010	1.9806133e-004	492.702220	148.826178	4.6037919e-014
2.8991699e+011	4.4517448e-011	1.7117127e-010	1.6186250e-010	2.0569891e-004	495.558838	146.490105	4.2160164e-014
3.0517578e+011	4.5067969e-011	1.7069405e-010	1.6356578e-010	2.1698144e-004	498.490519	145.173863	3.9412649e-014
3.2043457e+011	4.5327643e-011	1.7025518e-010	1.6477079e-010	2.2617668e-004	500.920101	144.680973	3.8330970e-014
3.3569336e+011	4.5697664e-011	1.6959126e-010	1.6584088e-010	2.3285228e-004	502.712412	144.504510	3.7608874e-014
3.5095215e+011	4.6358771e-011	1.6862452e-010	1.6703835e-010	2.3812560e-004	504.076237	144.575296	3.6650471e-014
3.6621094e+011	4.7062645e-011	1.6763420e-010	1.6802277e-010	2.4263219e-004	504.872249	144.904315	3.5908147e-014
3.8146973e+011	4.7636450e-011	1.6672715e-010	1.6853442e-010	2.4660386e-004	504.756008	145.024860	3.5194662e-014
3.9672852e+011	4.8229437e-011	1.6567923e-010	1.6887694e-010	2.4921071e-004	504.170231	144.307309	3.3718408e-014
4.1198730e+011	4.8970603e-011	1.6444737e-010	1.6945491e-010	2.4878790e-004	504.306753	142.590277	3.1729863e-014
4.2724609e+011	4.9755862e-011	1.6336162e-010	1.7032405e-010	2.4542012e-004	505.608929	140.151475	3.0430413e-014
4.4250488e+011	5.0488859e-011	1.6262743e-010	1.7142582e-010	2.4216841e-004	507.067426	137.287840	3.0051608e-014
4.5776367e+011	5.1229894e-011	1.6203814e-010	1.7284313e-010	2.4187893e-004	507.579040	134.274329	2.9512747e-014
4.7302246e+011	5.1988477e-011	1.6137205e-010	1.7456724e-010	2.4393530e-004	507.309159	131.536861	2.8178352e-014
4.8828125e+011	5.2631418e-011	1.6071881e-010	1.7634115e-010	2.4578729e-004	507.130048	129.460552	2.6625277e-014
5.0354004e+011	5.3128624e-011	1.6020337e-010	1.7798754e-010	2.4662917e-004	507.332672	128.078409	2.5361088e-014
5.1879883e+011	5.3666606e-011	1.5968508e-010	1.7963664e-010	2.4787977e-004	507.617037	127.230404	2.3959969e-014
