f[Hz]	Si_D(f)	Si_G(f)	Si_G-D(f).re	Si_G-D(f).im
0.0000e+000	1.6070e-017	0.0000e+000	0.0000e+000	0.0000e+000
1.5259e+010	1.6070e-017	9.9565e-021	2.3796e-019	1.0515e-019
3.0518e+010	1.6070e-017	3.9826e-020	4.7592e-019	2.1029e-019
4.5776e+010	1.6070e-017	8.9608e-020	7.1389e-019	3.1544e-019
6.1035e+010	1.6070e-017	1.5930e-019	9.5185e-019	4.2058e-019
7.6294e+010	1.6070e-017	2.4891e-019	1.1898e-018	5.2573e-019
9.1553e+010	1.6070e-017	3.5843e-019	1.4278e-018	6.3087e-019
1.0681e+011	1.6070e-017	4.8787e-019	1.6657e-018	7.3602e-019
1.2207e+011	1.6070e-017	6.3721e-019	1.9037e-018	8.4116e-019
1.3733e+011	1.6070e-017	8.0647e-019	2.1417e-018	9.4631e-019
1.5259e+011	1.6070e-017	9.9565e-019	2.3796e-018	1.0515e-018
1.6785e+011	1.6070e-017	1.2047e-018	2.6176e-018	1.1566e-018
1.8311e+011	1.6070e-017	1.4337e-018	2.8555e-018	1.2617e-018
1.9836e+011	1.6070e-017	1.6826e-018	3.0935e-018	1.3669e-018
2.1362e+011	1.6070e-017	1.9515e-018	3.3315e-018	1.4720e-018
2.2888e+011	1.6070e-017	2.2402e-018	3.5694e-018	1.5772e-018
2.4414e+011	1.6070e-017	2.5489e-018	3.8074e-018	1.6823e-018
2.5940e+011	1.6070e-017	2.8774e-018	4.0454e-018	1.7875e-018
2.7466e+011	1.6070e-017	3.2259e-018	4.2833e-018	1.8926e-018
2.8992e+011	1.6070e-017	3.5943e-018	4.5213e-018	1.9978e-018
3.0518e+011	1.6070e-017	3.9826e-018	4.7592e-018	2.1029e-018
3.2043e+011	1.6070e-017	4.3908e-018	4.9972e-018	2.2080e-018
3.3569e+011	1.6070e-017	4.8189e-018	5.2352e-018	2.3132e-018
3.5095e+011	1.6070e-017	5.2670e-018	5.4731e-018	2.4183e-018
3.6621e+011	1.6070e-017	5.7349e-018	5.7111e-018	2.5235e-018
3.8147e+011	1.6070e-017	6.2228e-018	5.9491e-018	2.6286e-018
3.9673e+011	1.6070e-017	6.7306e-018	6.1870e-018	2.7338e-018
4.1199e+011	1.6070e-017	7.2583e-018	6.4250e-018	2.8389e-018
4.2725e+011	1.6070e-017	7.8059e-018	6.6629e-018	2.9441e-018
4.4250e+011	1.6070e-017	8.3734e-018	6.9009e-018	3.0492e-018
4.5776e+011	1.6070e-017	8.9608e-018	7.1389e-018	3.1544e-018
4.7302e+011	1.6070e-017	9.5682e-018	7.3768e-018	3.2595e-018
4.8828e+011	1.6070e-017	1.0195e-017	7.6148e-018	3.3646e-018
5.0354e+011	1.6070e-017	1.0843e-017	7.8528e-018	3.4698e-018
5.1880e+011	1.6070e-017	1.1510e-017	8.0907e-018	3.5749e-018
5.3406e+011	1.6070e-017	1.2197e-017	8.3287e-018	3.6801e-018
5.4932e+011	1.6070e-017	1.2904e-017	8.5666e-018	3.7852e-018
5.6458e+011	1.6070e-017	1.3630e-017	8.8046e-018	3.8904e-018
5.7983e+011	1.6070e-017	1.4377e-017	9.0426e-018	3.9955e-018
5.9509e+011	1.6070e-017	1.5144e-017	9.2805e-018	4.1007e-018
