f[Hz]	Re[Y11]	Im[Y11]	Re[Y21]	Im[Y21]	Re[Y12]	Im[Y12]	Re[Y22]	Im[Y22]
0.0000000e+000	0.000000	0.000000	453.064020	0.000000	0.000000	0.000000	109.396130	0.000000
1.5258789e+010	-2.013643	16.982503	468.670934	17.647701	-8.705579	-19.713926	125.380295	39.037084
3.0517578e+010	-5.304364	36.793322	494.530278	13.942177	-23.759292	-27.721157	152.583325	56.631551
4.5776367e+010	-7.197503	58.926786	510.753004	-7.642569	-34.257505	-24.923544	171.336471	55.280914
6.1035156e+010	-6.956856	81.064310	510.857641	-30.871545	-35.374904	-19.661509	174.046653	49.978547
7.6293945e+010	-6.221066	101.828710	503.925893	-44.511510	-30.783878	-19.100803	167.423432	52.247467
9.1552734e+010	-6.617573	122.315352	501.144893	-51.205773	-26.795815	-23.553955	161.252848	62.207542
1.0681152e+011	-7.450980	144.376854	503.716241	-59.937682	-25.609720	-28.968915	158.583506	74.078862
1.2207031e+011	-6.605063	167.843200	504.858756	-73.771578	-25.090828	-33.058471	156.721579	84.997848
1.3732910e+011	-3.503156	190.553872	500.348724	-87.715979	-23.547641	-37.070219	153.879125	96.531942
1.5258789e+011	0.067641	211.213596	493.256944	-96.714767	-22.092495	-42.297910	151.625980	110.045454
1.6784668e+011	2.437623	230.963984	488.684599	-101.669413	-22.060989	-47.599891	151.657214	124.048093
1.8310547e+011	4.171463	251.476762	487.514117	-106.709885	-22.504041	-51.373940	153.116382	136.472477
1.9836426e+011	6.826095	272.530764	487.060467	-113.528452	-21.657923	-54.107981	154.083605	147.322865
2.1362305e+011	10.433805	292.588884	485.648211	-120.591245	-19.485076	-57.422579	154.052256	157.892303
2.2888184e+011	13.449868	311.239335	484.170345	-126.453634	-17.203016	-61.676179	153.672184	168.624309
2.4414062e+011	14.957792	329.828987	483.945465	-131.534511	-15.164745	-66.072858	152.989513	179.099894
2.5939941e+011	15.791381	349.669494	485.115550	-136.919399	-12.782268	-70.470960	151.353627	189.539419
2.7465820e+011	17.308618	370.607409	487.178694	-143.173338	-10.094987	-75.496230	148.826178	200.952528
2.8991699e+011	19.916726	391.621627	489.645275	-150.519066	-7.863674	-81.093080	146.490105	213.755998
3.0517578e+011	23.127799	412.075993	491.913789	-158.988160	-6.146081	-86.416749	145.173863	227.216697
3.2043457e+011	26.417047	431.995520	493.468848	-168.138299	-4.103943	-91.260401	144.680973	240.480828
3.3569336e+011	29.588986	451.627931	494.383651	-177.401223	-1.397563	-96.386591	144.504510	253.408896
3.5095215e+011	32.667173	471.166640	494.947439	-186.743801	1.337872	-102.225604	144.575296	266.110224
3.6621094e+011	35.785633	490.662132	494.915526	-196.275087	3.653318	-108.289790	144.904315	278.325771
3.8146973e+011	39.002736	509.952702	493.972767	-205.385821	5.927830	-114.177187	145.024860	289.773690
3.9672852e+011	42.060378	528.885216	492.813821	-213.269677	8.512110	-120.222423	144.307309	300.740294
4.1198730e+011	44.582720	547.730606	492.698627	-220.319623	11.101200	-126.764940	142.590277	311.884787
4.2724609e+011	46.657821	567.085099	493.763070	-227.966779	13.365684	-133.567938	140.151475	323.661252
4.4250488e+011	48.924312	587.178618	494.732867	-236.866918	15.466175	-140.376203	137.287840	336.245905
4.5776367e+011	51.878899	607.556237	494.614763	-246.139784	17.529957	-147.348137	134.274329	349.785693
4.7302246e+011	55.354172	627.650081	493.807191	-254.723679	19.299049	-154.514317	131.536861	364.314848
4.8828125e+011	58.892541	647.412965	493.180586	-262.620029	20.741992	-161.471169	129.460552	379.536706
5.0354004e+011	62.385191	667.148809	492.914683	-270.371235	22.379703	-168.090220	128.078409	395.033047
5.1879883e+011	66.062764	686.940484	492.755799	-278.122748	24.495693	-174.937528	127.230404	410.625667
5.3405762e+011	70.017894	706.550002	492.684276	-285.777257	26.571248	-182.462425	126.913924	426.253392
5.4931641e+011	74.028948	725.792770	492.725574	-293.423215	28.040616	-190.279523	127.134962	441.630651
5.6457520e+011	77.815358	744.766699	492.687944	-301.017069	29.126370	-197.802997	127.502220	456.445694
5.7983398e+011	81.280316	763.737753	492.664508	-308.197541	30.357462	-205.140342	127.411786	470.905113
5.9509277e+011	84.539974	782.946480	493.243047	-314.994663	31.673954	-212.760271	126.727744	485.676369
6.1035156e+011	87.844171	802.473393	494.607234	-322.172459	32.631287	-220.636051	125.933386	501.162252
6.2561035e+011	91.410486	822.170374	495.961810	-330.209130	33.194397	-228.348665	125.482123	517.146489
6.4086914e+011	95.223757	841.777888	496.557258	-338.432132	33.709204	-235.803191	125.319427	533.287379
6.5612793e+011	99.051445	861.200458	496.835343	-345.914007	34.272970	-243.245922	125.215130	549.623154
6.7138672e+011	102.722774	880.602767	497.768912	-352.822543	34.703401	-250.719619	125.233451	566.353688
6.8664551e+011	106.306009	900.185621	499.416921	-360.043326	35.014590	-258.045322	125.568425	583.418641
7.0190430e+011	109.968276	919.981832	501.030992	-367.738075	35.411410	-265.252707	126.144748	600.650284
7.1716309e+011	113.802852	939.920112	502.434548	-375.218082	35.889677	-272.554437	126.767260	618.191752
7.3242188e+011	117.856356	959.924672	504.356676	-382.229640	36.278794	-279.978675	127.591510	636.377786
